NIMI ;OSOITE;POSTINUMERO;KUNTA;LUVAN ALKUPÄIVÄ;LUVAN SELITE;OSASTON NIMI;ASIAKASPAIKAT;
 Bar Pahka;Pahkakatu 4;48770;Kotka;3.3.2020;Anniskelu A, kaikki alkoholijuomat; terassi;20;
 Bar Pahka;Pahkakatu 4;48770;Kotka;3.3.2020;Anniskelu A, kaikki alkoholijuomat;Bar Pahka;100;
 Cafe Mirjam, Kahvila Puistonkulma;Isoympyränkatu17;49400;Hamina;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Teltta;50;
 Cafe Mirjam, Kahvila Puistonkulma;Isoympyränkatu17;49400;Hamina;1.3.2018;Anniskelu A, kaikki alkoholijuomat;terassi;50;
 Cafe Mirjam, Kahvila Puistonkulma;Isoympyränkatu17;49400;Hamina;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Kahvila;12;
 Cafe Mirjam, Kahvila Puistonkulma;Isoympyränkatu17;49400;Hamina;1.3.2018;Anniskelu A, kaikki alkoholijuomat;aula;60;
 Hakapirtti;Teollisuuskatu 20;49400;Hamina;1.9.2019;Anniskelu A, kaikki alkoholijuomat;Terassi;35;
 Hakapirtti;Teollisuuskatu 20;49400;Hamina;1.9.2019;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;65;
 Lucky Palace;Porttisuontie 4;1200;Vantaa;1.4.2018;Anniskelu A, kaikki alkoholijuomat;Sali;50;
 Public Corner ja;Kauppakatu 5;48100;Kotka;1.1.2013;Anniskelu A, kaikki alkoholijuomat;Public Corner Pasaati;80;
 Public Corner ja;Kauppakatu 5;48100;Kotka;1.1.2013;Anniskelu A, kaikki alkoholijuomat;Rosso-osasto;120;
 Public Corner ja;Kauppakatu 5;48100;Kotka;1.1.2013;Anniskelu A, kaikki alkoholijuomat;Ulkoterassi;145;
 Ravintola Mulligan`s;Kouvolankatu 11;45100;Kouvola;1.8.2020;Anniskelu A, kaikki alkoholijuomat; Ravintola Mulligan`s;350;
 Better We Do It  Slow Food;Kirkkotie 6;21420;Lieto;25.4.2018;Anniskelu A, kaikki alkoholijuomat;Kokous/Conference;88;
 Better We Do It  Slow Food;Kirkkotie 6;21420;Lieto;25.4.2018;Anniskelu A, kaikki alkoholijuomat;Kahvila/Ravintola;52;
 Better We Do It  Slow Food;Kirkkotie 6;21420;Lieto;25.4.2018;Anniskelu A, kaikki alkoholijuomat;Terassi;72;
 Better We Do It  Slow Food;Kirkkotie 6;21420;Lieto;25.4.2018;Anniskelu A, kaikki alkoholijuomat;B&B majoitustila;10;
 Bodegan  Käringsunds Gästhamn;, Gamla Käringsundsvägen;22270;Eckerö;24.4.2013;Anniskelu B, miedot alkoholijuomat/max 22%;Bodegan Käringsunds Gästhamn;50;
(Korson Pizzapalvelu) Sero;Korsontie 5;1450;Vantaa;18.6.2020;Anniskelu A, kaikki alkoholijuomat;Sali;32;
10-Kerho;Asemakatu 10;84100;Ylivieska;28.5.2009;Anniskelu A, kaikki alkoholijuomat;Terassi;100;
10-Kerho;Asemakatu 10;84100;Ylivieska;28.5.2009;Anniskelu A, kaikki alkoholijuomat;Kabinetti;50;
10-Kerho;Asemakatu 10;84100;Ylivieska;28.5.2009;Anniskelu A, kaikki alkoholijuomat;Baari;250;
158 Kiinalainen ravintola;Viilarinkatu 3;20320;Turku;5.11.2018;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;40;
1H+Keittiö, Ett rum och kök;Hovrättsesplanaden 13 A;65100;Vaasa;15.12.2011;Anniskelu A, kaikki alkoholijuomat;Cafe;50;
1bar;Kauppurienkatu 5;90100;Oulu;25.1.2008;Anniskelu A, kaikki alkoholijuomat;Terassi;45;
1bar;Kauppurienkatu 5;90100;Oulu;25.1.2008;Anniskelu A, kaikki alkoholijuomat;Sisätilat;85;
2H+K Baari & Keittiö;Aleksanterinkatu 33;33100;Tampere;30.1.2004;Anniskelu A, kaikki alkoholijuomat;Baari;70;
2H+K Baari & Keittiö;Aleksanterinkatu 33;33100;Tampere;30.1.2004;Anniskelu A, kaikki alkoholijuomat;Keittiö;60;
2H+K Baari & Keittiö;Aleksanterinkatu 33;33100;Tampere;30.1.2004;Anniskelu A, kaikki alkoholijuomat;Terassi (1.4.-30.9);20;
2Puuta Bistro & Bar;Kauppalankatu 2;5800;Hyvinkää;2.4.2020;Ann.lupa sis. vähittäismyynnin;Ravintolasali katutaso;50;
2Puuta Bistro & Bar;Kauppalankatu 2;5800;Hyvinkää;2.4.2020;Ann.lupa sis. vähittäismyynnin;Ravintolasali alakerta/ kokoustila;16;
2Puuta Bistro & Bar;Kauppalankatu 2;5800;Hyvinkää;2.4.2020;Ann.lupa sis. vähittäismyynnin;Terassi;30;
3-0 Sportbar Burger etc.;Yliskylän puistokatu 4;840;Helsinki;22.11.2018;Anniskelu A, kaikki alkoholijuomat;Sisätila;99;
32 Rock Bar;Mäkelänkatu 32;510;Helsinki;1.9.2019;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;60;
45 Special;Saaristonkatu 12;90100;Oulu;1.2.2002;Anniskelu A, kaikki alkoholijuomat;Terassi;8;
45 Special;Saaristonkatu 12;90100;Oulu;1.2.2002;Anniskelu A, kaikki alkoholijuomat;Sali,  1. krs.;90;
45 Special;Saaristonkatu 12;90100;Oulu;1.2.2002;Anniskelu A, kaikki alkoholijuomat;Sali kellari;100;
45 Special;Saaristonkatu 12;90100;Oulu;1.2.2002;Anniskelu A, kaikki alkoholijuomat;Sali, 2. krs.;120;
45 Special;Saaristonkatu 12;90100;Oulu;1.2.2002;Anniskelu A, kaikki alkoholijuomat;Terassi (2. krs);50;
4Chiefs;Leppävaarankatu 3-9;2600;Espoo;31.7.2020;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;100;
4Chiefs;Leppävaarankatu 3-9;2600;Espoo;31.7.2020;Anniskelu A, kaikki alkoholijuomat;Terassi;40;
4Vuodenaikaa Aleksanterinpuisto;Puutarhakatu 32;33230;Tampere;10.8.2020;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;120;
4Vuodenaikaa Aleksanterinpuisto;Puutarhakatu 32;33230;Tampere;10.8.2020;Anniskelu A, kaikki alkoholijuomat;Kabinetti;20;
4Vuodenaikaa Aleksanterinpuisto;Puutarhakatu 32;33230;Tampere;10.8.2020;Anniskelu A, kaikki alkoholijuomat;Terassi;60;
50/50 Bistro & Puoti;Kakskerrantie 679;20960;Turku;12.6.2020;Anniskelu A, kaikki alkoholijuomat;Terassi;10;
50/50 Bistro & Puoti;Kakskerrantie 679;20960;Turku;12.6.2020;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;14;
60s Palaver;Kauppakatu 22;80100;Joensuu;1.3.2018;Anniskelu A, kaikki alkoholijuomat;1. krs;50;
60s Palaver;Kauppakatu 22;80100;Joensuu;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Terassi;20;
60s Palaver;Kauppakatu 22;80100;Joensuu;1.3.2018;Anniskelu A, kaikki alkoholijuomat;2. krs;50;
6K food markets;Urho Kekkosen katu 1 E-taso;100;Helsinki;10.6.2016;Anniskelu A, kaikki alkoholijuomat;Ruokailu ja oleskelutila;200;
8-Bit Save Point Terrace;Hankasuontie 4;390;Helsinki;1.7.2020;Anniskelu A, kaikki alkoholijuomat;Ulkoalue;99;
8Baari;Ylioppilaankatu 6-8;33720;Tampere;1.1.2016;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;47;
8Baari;Ylioppilaankatu 6-8;33720;Tampere;1.1.2016;Anniskelu A, kaikki alkoholijuomat;Terassi;20;
96 aste;Kauppakatu 26;87100;Kajaani;12.4.2003;Anniskelu A, kaikki alkoholijuomat;Yökerho;350;
9PIRTTI;Ysitie 1086;77630;Suonenjoki;3.4.2020;Ann.lupa sis. vähittäismyynnin;Ulkotila 1;10;
9PIRTTI;Ysitie 1086;77630;Suonenjoki;3.4.2020;Ann.lupa sis. vähittäismyynnin;Ulkotila 2;30;
9PIRTTI;Ysitie 1086;77630;Suonenjoki;3.4.2020;Ann.lupa sis. vähittäismyynnin;Sisätila;6;
@EVA;Kauppiaskatu 4;21600;PARAINEN;1.7.2019;Anniskelu A, kaikki alkoholijuomat;Terassi;16;
@EVA;Kauppiaskatu 4;21600;PARAINEN;1.7.2019;Anniskelu A, kaikki alkoholijuomat;Sali;35;
AA HAN THAI;Mechelininkatu 17;100;Helsinki;11.12.2012;Anniskelu A, kaikki alkoholijuomat;Sali;28;
AAKOO Pub;Kiekkokuja 1;46900;Kouvola;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Sali;50;
AAVA Lapland;Vaeltajantie 2;95980;Kolari;17.7.2020;Anniskelu A, kaikki alkoholijuomat;Terassi;15;
AAVA Lapland;Vaeltajantie 2;95980;Kolari;17.7.2020;Anniskelu A, kaikki alkoholijuomat;Kahvila;18;
AAVA Lapland;Vaeltajantie 2;95980;Kolari;17.7.2020;Anniskelu A, kaikki alkoholijuomat;Studio (tilaisuuksissa);38;
AB Oneils Kitchen Oy;Simhallsvägen 1;64230;Närpiö;13.11.2018;Anniskelu A, kaikki alkoholijuomat;Terassi;16;
AB Oneils Kitchen Oy;Simhallsvägen 1;64230;Närpiö;13.11.2018;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;70;
ABB;Valimopolku 4;380;Helsinki;18.3.2005;Anniskelu A, kaikki alkoholijuomat;Ravintolasali,  7.krs;240;
ABB;Valimopolku 4;380;Helsinki;18.3.2005;Anniskelu A, kaikki alkoholijuomat;Valopiha,  7.krs;250;
ABB;Valimopolku 4;380;Helsinki;18.3.2005;Anniskelu A, kaikki alkoholijuomat;Kabinetit (2kpl) ja käytävpiha;180;
ABB;Valimopolku 4;380;Helsinki;18.3.2005;Anniskelu A, kaikki alkoholijuomat;Saunakabinetti,  10.krs;30;
ABB;Valimopolku 4;380;Helsinki;18.3.2005;Anniskelu A, kaikki alkoholijuomat;Kabinetit  12 kpl,  7.krs   yht.;114;
ABC  Majakka;Pyhtääntie 38-40;49270;Pyhtää;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Kesäterassi;40;
ABC  Majakka;Pyhtääntie 38-40;49270;Pyhtää;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Kabinetti;24;
ABC  Majakka;Pyhtääntie 38-40;49270;Pyhtää;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;290;
ABC  Nastola;Majakkatie 2;15540;Lahti;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Sali;224;
ABC Amiraali;Haminantie 1;48770;Kotka;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Sali;260;
ABC Amiraali;Haminantie 1;48770;Kotka;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Terassi;60;
ABC Anjalankoski;Hallitie 2;46860;Kouvola;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Kabinetti/Kokoustila;60;
ABC Anjalankoski;Hallitie 2;46860;Kouvola;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Terassi;100;
ABC Anjalankoski;Hallitie 2;46860;Kouvola;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Ravintolasali;150;
ABC Anjalankoski;Hallitie 2;46860;Kouvola;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Kabinetti;40;
ABC Forssa;Autoilijankatu;30100;Forssa;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Kabinetti;48;
ABC Forssa;Autoilijankatu;30100;Forssa;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Terassi;48;
ABC Forssa;Autoilijankatu;30100;Forssa;1.3.2018;Anniskelu A, kaikki alkoholijuomat;ABC Forssa;236;
ABC Haapajärvi;Puistokatu 40;85800;Haapajärvi;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Sali;100;
ABC Haapajärvi;Puistokatu 40;85800;Haapajärvi;1.3.2018;Anniskelu A, kaikki alkoholijuomat;ABC   Haapajärvi;44;
ABC Heinola;Työmiehentie 33;18200;Heinola;1.3.2018;Anniskelu A, kaikki alkoholijuomat;Terassi;60;
