Vuosi;Määrä;Voitto;Muistiinpanot:
1973;1;18120433;Euron sentit: siirrä voittosumman pilkkua kaksi vasemmalle niin saat eurot.
1973;1;17940808;
1973;1;17541597;
1974;1;20230653;
1974;1;19968263;
1975;1;44428758;
1975;1;36070222;
1975;1;26745816;
1976;1;46666868;
1976;1;30570561;
1976;1;28620893;
1976;1;27828290;
1976;1;18858206;
1976;1;18733360;
1976;1;18508863;
1976;1;17871380;
1976;1;17135356;
1976;1;17117831;
1976;1;17113609;
1976;3;17016952;
1977;1;46872108;
1977;1;41165458;
1977;1;30915447;
1977;1;30256100;
1977;1;24581641;
1977;1;17559240;
1977;1;17330420;
1977;1;17039607;
1977;1;16937096;
1978;1;32603045;
1978;1;29614076;
1978;2;23919065;
1978;1;21152205;
1978;1;20046420;
1978;1;19383591;
1978;1;19313911;
1978;1;18913018;
1978;1;18884241;
1978;1;18687680;
1978;1;18596859;
1978;1;18379257;
1978;1;17965616;
1978;1;17824943;
1979;1;40994848;
1979;1;39515282;
1979;1;23805470;
1979;1;23576045;
1979;1;23192644;
1979;1;22481764;
1979;1;21945547;
1979;1;21884411;
1979;1;21561188;
1979;2;20191902;
1979;2;19587788;
1979;2;18142919;
1980;1;28497998;
1980;1;27166336;
1980;1;25939254;
1980;1;25900335;
1980;1;24511742;
1980;1;24497362;
1980;1;23844423;
1980;1;23652705;
1980;1;20690849;
1980;1;20365523;
1980;2;20323577;
1980;1;20042148;
1980;1;19541335;
1980;1;19393077;
1980;1;18109803;
1981;1;49207162;
1981;1;44735667;
1981;1;35408419;
1981;1;32550637;
1981;1;32124819;
1981;2;24631509;
1981;1;21170891;
1981;1;21124622;
1981;1;20277947;
1981;1;19834486;
1981;1;19814791;
1981;1;19629062;
1981;1;19609922;
1981;1;19524852;
1981;1;19353654;
1981;1;17878848;
1981;2;17596544;
1981;2;17496825;
1982;1;34841861;
1982;2;29863499;
1982;2;29024880;
1982;2;25265846;
1982;1;23321863;
1982;1;22995730;
1982;1;22911081;
1982;1;22131479;
1982;1;21837756;
1982;1;21550962;
1982;1;20923856;
1982;1;20268798;
1982;2;18245279;
1982;2;17626313;
1982;2;17041322;
1983;1;69636445;
1983;1;57595400;
1983;1;48371790;
1983;1;47252213;
1983;1;47026084;
1983;1;47023999;
1983;1;38731510;
1983;2;34838952;
1983;2;29761274;
1983;1;27978129;
1983;1;26493820;
1983;1;25750312;
1983;1;25484659;
1983;1;23928517;
1983;2;23800458;
1983;2;21636233;
1983;3;21107383;
1983;2;20025312;
1984;1;90004373;
1984;1;73868036;
1984;1;71311294;
1984;1;70864772;
1984;1;51909168;
1984;1;51538701;
1984;1;31932362;
1984;1;30556904;
1984;1;30138402;
1984;1;28846466;
1984;1;28385648;
1984;2;28154356;
1984;1;28114563;
1984;1;27653442;
1984;2;25228189;
1984;3;17940034;
1984;6;16818793;
1985;1;84093963;
1985;1;54125515;
1985;1;42316469;
1985;2;36677666;
1985;1;29094661;
1985;1;29040320;
1985;1;28708182;
1985;1;28318508;
1985;1;28184680;
1985;1;27652534;
1985;3;27253508;
1985;2;26858552;
1985;2;25148031;
1985;2;23929055;
1985;2;23772960;
1985;3;22408367;
1985;3;17073194;
1986;1;135281605;
1986;1;121874774;
1986;1;104867207;
1986;1;84093963;
1986;1;84093963;
1986;1;62523340;
1986;1;62261421;
1986;1;55779913;
1986;2;44112161;
1986;2;34019103;
1986;1;32123743;
1986;1;30532416;
1986;1;30512687;
1986;1;30242376;
1986;1;29619105;
1986;1;29178150;
1986;1;28481936;
1986;1;28082153;
1986;1;25361444;
1986;3;21673571;
1986;3;21500892;
1986;3;20712427;
1987;1;168187926;
1987;1;151369134;
1987;1;139218733;
1987;1;125121137;
1987;1;123797582;
1987;1;84093963;
1987;3;46770270;
1987;1;42938714;
1987;2;42046982;
1987;1;38345619;
1987;1;38106473;
1987;1;37422856;
1987;1;37394466;
1987;1;36841162;
1987;1;35033730;
1987;1;34864499;
1987;1;34611696;
1987;1;34337079;
1987;1;33991907;
1987;1;33085693;
1987;3;28219899;
1987;2;20111357;
1987;2;18501092;
1987;2;18045858;
1987;2;16921774;
1987;2;16866793;
1988;1;152471252;
1988;1;100912756;
1988;1;100912756;
1988;1;89362215;
1988;1;88028686;
1988;1;84093963;
1988;1;83781621;
1988;1;76815866;
1988;1;74267113;
1988;2;73165028;
1988;2;71488867;
1988;2;67275171;
1988;1;67275171;
1988;3;45249347;
1988;2;43810550;
1988;2;42455157;
1988;2;41542081;
1988;2;40990711;
1988;1;37232669;
1988;2;37012764;
1988;1;35577801;
1988;1;35505211;
1988;1;35501074;
1988;2;17428037;
1989;1;247121632;
1989;1;185006719;
